Titulo,Duracion,Anio_estreno,Tipo,Genero,Actores,Plataforma
13 Reasons Why: Beyond the Reasons,3,2019,TV Show,"Crime TV Shows, Docuseries","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",Netflix
13 Sins,93,2014,Movie,"Horror Movies, Thrillers","Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",Netflix
13 Teen,82,2006,Movie,Suspense,"Amanda Brown, John Lansch, Marc Hustvedt",Amazon
13TH,101,2016,Movie,Documentaries,Sin dato,Netflix
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,37,2017,Movie,Movies,"Oprah Winfrey, Ava DuVernay",Netflix
13aam Number Veedu,106,2020,Movie,Horror,"Ramana, Sanjeiv, Praveen prem, Varsha Bollamma, Aiswarya Gowda, Chetan Gandharva",Amazon
13th Locker,103,2020,Movie,"Drama, Suspense","Ricky Schroder, Rick Hoffman, Jon Gries, Jason Spisak, Jon Polito, Krista Allen, Tatyana Ali, David Huddleston, Curtis Armstrong, Bart Johnson, Jesse Garcia, Steve Eastin, Victor Campos, Jason Marsden, Alexander Polinsky, Marina Benedict, Thomas Calabro, Jose Rosete",Amazon
14 Blades,113,2010,Movie,"Action & Adventure, International Movies","Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu",Netflix
14 Cameras,89,2018,Movie,"Horror Movies, Thrillers","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",Netflix
14 Minutes from Earth,84,2016,Movie,Documentaries,Sin dato,Netflix
1492: Conquest of Paradise,150,1992,Movie,"Adventure, Drama","Gerard Depardieu, Sigourney Weaver, Armand Assante, Loren Dean, Michael Wincott, Angela Molina, Fernando Rey",Amazon
15 August,124,2019,Movie,"Comedies, Dramas, Independent Movies","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",Netflix
15 Killings,97,2020,Movie,"Horror, Suspense","Steve Bongeorno, Maria Olsen, JT Richardson",Amazon
15 Minute Forest Stream Meditation,15,2020,Movie,Special Interest,Marie-Anne Newland,Amazon
15 Minute Mountain Sleep Visualization,15,2020,Movie,Faith and Spirituality,Anne-Marie Newland,Amazon
15 Minute Ocean Meditation,15,2020,Movie,Special Interest,Anne-Marie Newland,Amazon
15 Minute Ocean Sleep Visualization,15,2020,Movie,Special Interest,Sin dato,Amazon
15 Minute Rain Meditation,15,2020,Movie,Special Interest,Anne-Marie Newland,Amazon
15 Minutes of War,98,2019,Movie,"Action, Drama","Alban Lenoir, Olga Kurylenko, Kevin Layne, Michaël Abiteboul, Sébastien Lalanne, David Murgia, Guillaume Labbé, Vincent Perez, Josiane Blasko, Ben Cura, Andre Peirre",Amazon
15 Years,89,2020,Movie,"Arthouse, Drama, LGBTQ","Oded Leopold, Udi Persi, Ruti Asarsai",Amazon
15-Aug,124,2019,Movie,"Comedies, Dramas, Independent Movies","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",Netflix
15-Minute Anxiety Meditation,15,2020,Movie,Special Interest,Donna D' Cruz,Amazon
15-Minute Arms & Core 8.0 Workout (with weights),21,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Balance & Burn 5.0 Workout,21,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Balance & Burn 9.0 Workout (with weights),24,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Burn 5.0 Workout,22,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Burst 4.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Challenge 6.0 Workout (with weights),20,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Core 4.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Core 7.0 Workout (with weights),22,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Core 8.0 Workout (with weights),20,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio Flow 7.0 Workout (with weights),19,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Cardio HIIT 3.0 Workout,19,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Core Challenge 1.0 Workout,18,2016,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Core Challenge 2.0 Workout,17,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Core Challenge 9.0 Workout (with weights),23,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Balance & Tone 7.0 Workout (with weights),20,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Blast 3.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Burn 1.0 Workout,17,2016,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Burn 2.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Burn 3.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Challenge 7.0 Workout (with weights),22,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Challenge I 6.0 Workout (with weights),22,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Challenge II 6.0 Workout (with weights),22,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Full Body Chisel & Burn 7.0 Workout (with weights),20,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Guided Meditation,19,2016,Movie,Special Interest,Anne-Marie Newland,Amazon
15-Minute HIIT 1.0 Workout,20,2016,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT 2.0 Workout,20,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT 6.0 Workout (with weights),18,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT 7.0 Workout (with weights),22,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT 9.0 (tabata workout with weights),23,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT One 8.0 (tabata workout with weights),23,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute HIIT Two 8.0 (tabata workout with weights),22,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Legs & Booty 8.0 Workout (with weights),20,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Legs & Booty Sculpt 9.0 Workout (with weights),25,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Lower Body Chisel 1.0 Workout,20,2016,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Lower Body Chisel 2.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Lower Body Chisel 6.0 Workout (with weights),20,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Lower Strength Focus 5.0 Workout,18,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Plyometrics: Jump Jump! 5.0 Workout,20,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Strength & Sculpt 4.0 Workout,17,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Total Body Shred 9.0 Workout (with weights),20,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Total Body Tone-Up 8.0 Workout (with weights),21,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Upper Body Chisel 9.0 Workout (with weights),25,2020,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Upper Body Sculpt 1.0 Workout,17,2016,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Upper Body Sculpt 2.0 Workout,17,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Upper Body Sculpt 6.0 Workout (with weights),19,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Upper Strength Focus 5.0 Workout,19,2017,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Balance 2.0 (Workout),21,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Core 1.0 Workout,18,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Core 2.0 (Workout),22,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Flow 1.0 (Workout),19,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Flow 2.0 (Workout),21,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga HIIT 1.0 (Workout),19,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Power Flow 2.0 (Workout),21,2019,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Recover 1.0 Workout,18,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Stretch 1.0 Workout,20,2018,Movie,Fitness,Maggie Binkley,Amazon
15-Minute Yoga Stretch 2.0 (Workout),22,2019,Movie,Fitness,Maggie Binkley,Amazon
16 Blocks,102,2006,Movie,Action & Adventure,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz",Netflix
16 Minute Chakra Garden Meditation,16,2020,Movie,Special Interest,Anne-Marie Newland,Amazon
17 Again,102,2009,Movie,Comedies,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",Netflix
18 Presents,114,2020,Movie,"Dramas, Independent Movies, International Movies","Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",Netflix
18 Vayasu,151,2012,Movie,"Drama, Suspense","Johnny, Gayathrie, Rohini, Sathyendra, Yuvarani",Amazon
187,119,1997,Movie,Dramas,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",Netflix
1898: Our Last Men in the Philippines,130,2016,Movie,"Dramas, International Movies","Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",Netflix
1920,143,2008,Movie,"Horror Movies, International Movies, Thrillers","Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",Netflix
1922,103,2017,Movie,"Dramas, Thrillers","Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",Netflix
1939: Westerplatte,119,2013,Movie,"Action, Drama","Michal Zebrowski, Robert Zoledziewski, Jan Englert",Amazon
1983,1,2018,TV Show,"Crime TV Shows, International TV Shows, TV Dramas","Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach",Netflix
1984,111,1985,Movie,Drama,"John Hurt, Richard Burton, Suzanna Hamilton",Amazon
1994,1,2019,TV Show,"Crime TV Shows, Docuseries, International TV Shows",Sin dato,Netflix
1996-1997 NBA Championship Season - Chicago Bulls,52,1997,Movie,"Documentary, Special Interest","Michael Jordan, Steve Kerr",Amazon
1BR,90,2019,Movie,"Horror Movies, Independent Movies, Thrillers","Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",Netflix
1st Summoning,94,2018,Movie,"Horror Movies, Independent Movies","Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",Netflix
2 Alone in Paris,97,2008,Movie,"Comedies, International Movies","Ramzy Bedia, Éric Judor, Benoît Magimel, Kristin Scott Thomas, Élodie Bouchez, Édouard Baer, Fred Testot, Omar Sy",Netflix
2 Below 0,48,2019,Movie,Comedy,"Yuvia Storm, Carmen Birkedal, Pennan Brae, Vanessa Farnsworth, Amber Dawn Hanson",Amazon
2 Days In New York,95,2012,Movie,Comedy,"Chris Rock, Julie Delpy",Amazon
2 Days in Paris,101,2007,Movie,"Comedy, Drama, Romance",Sin dato,Hulu
2 Hearts,101,2020,Movie,"Dramas, Faith & Spirituality, Romantic Movies","Jacob Elordi, Adan Canto, Radha Mitchell, Tiera Skovbye, Kari Matchett, Tahmoh Penikett",Netflix
2 States,143,2014,Movie,"Comedies, Dramas, International Movies","Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma",Netflix
2 Weeks in Lagos,107,2020,Movie,"Dramas, International Movies, Romantic Movies","Beverly Naya, Mawuli Gavor, Ajoke Silva, Jide Kosoko, Toyin Abraham, Okey Uzoeshi, Deyemi Okanlawon, Shaffy Bello, Tina Mba, Efe Irele",Netflix
"2,215",89,2018,Movie,"Documentaries, International Movies, Sports Movies",Artiwara Kongmalai,Netflix
2.0 (Hindi),141,2018,Movie,"Action, Drama, Science Fiction","Rajinikanth, Akshay Kumar, Amy Jackson",Amazon
2.0 (Tamil),141,2018,Movie,"Action, International, Science Fiction","Rajinikanth, Akshay Kumar, Amy Jackson",Amazon
2.0 (Telugu),141,2018,Movie,"Action, Science Fiction","Rajinikanth, Akshay Kumar, Amy Jackson",Amazon
20 Feet From Stardom,91,2013,Movie,"Documentaries, Music & Musicals","Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",Netflix
20 Minutes,1,2013,TV Show,"Crime TV Shows, International TV Shows, TV Dramas","Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, İpek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer",Netflix
"20,000 Days on Earth",97,2014,Movie,Drama,Sin dato,Hulu
"20,000 Leagues Under the Sea",127,1954,Movie,"Action-Adventure, Family, Science Fiction","Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert Wilke, Ted de Corsia",Disney
